value,geometry
34.070218265169025,POINT (79.74598272124354 6.7197163265962185)
34.071055002115614,POINT (79.75502905061313 6.719739408453912)
34.071861169848454,POINT (79.76407541165185 6.71976232330254)
34.07263453020361,POINT (79.7731218041297 6.71978507113926)
34.07337275201325,POINT (79.78216822781671 6.719807651961251)
34.07407341019066,POINT (79.79121468248292 6.71983006576571)
34.074733985150615,POINT (79.80026116789834 6.719852312549853)
34.07535186260953,POINT (79.80930768383297 6.719874392310924)
34.075924333812345,POINT (79.81835423005684 6.719896305046177)
34.07644859623605,POINT (79.82740080633994 6.7199180507529)
34.07692175482209,POINT (79.8364474124523 6.719939629428389)
34.07734082379245,POINT (79.84549404816389 6.719961041069968)
34.07770272910609,POINT (79.85454071324473 6.7199822856749805)
34.07800431161401,POINT (79.86358740746479 6.720003363240789)
34.07824233097257,POINT (79.87263413059408 6.720024273764777)
34.078413470375246,POINT (79.88168088240256 6.720045017244351)
34.07851434216282,POINT (79.89072766266024 6.720065593676937)
34.078541494371166,POINT (79.89977447113706 6.720086003059981)
34.07849141827421,POINT (79.90882130760303 6.720106245390948)
34.07836055697646,POINT (79.9178681718281 6.720126320667329)
34.0781453151059,POINT (79.92691506358224 6.72014622888663)
34.0778420696523,POINT (79.93596198263542 6.7201659700463825)
34.077447181989726,POINT (79.94500892875759 6.720185544144135)
34.0769570111136,POINT (79.95405590171869 6.720204951177458)
34.076367928112624,POINT (79.9631029012887 6.720224191143945)
34.075676331884786,POINT (79.97214992723758 6.7202432640412075)
34.07487866609287,POINT (79.98119697933522 6.7202621698668725)
34.07397143734012,POINT (79.9902440573516 6.720280908618603)
34.07295123452972,POINT (79.99929116105666 6.720299480294068)
34.07181474935328,POINT (80.00833829022034 6.720317884890963)
34.07055879783318,POINT (80.01738544461256 6.720336122407004)
34.06918034282239,POINT (80.02643262400323 6.720354192839928)
34.06767651734226,POINT (80.03547982816231 6.720372096187492)
34.066044648615105,POINT (80.0445270568597 6.720389832447473)
34.06428228262489,POINT (80.05357430986533 6.7204074016176705)
34.062387209013565,POINT (80.0626215869491 6.720424803695902)
34.06035748609848,POINT (80.07166888788095 6.7204420386800106)
34.05819146577166,POINT (80.08071621243077 6.720459106567857)
34.05588781802139,POINT (80.08976356036847 6.720476007357319)
34.05344555479705,POINT (80.09881093146396 6.720492741046302)
34.05086405292162,POINT (80.10785832548711 6.720509307632728)
34.048143075743916,POINT (80.11690574220788 6.720525707114542)
34.04528279321407,POINT (80.12595318139611 6.7205419394897055)
34.042283800062215,POINT (80.13500064282171 6.7205580047562075)
34.03914713176247,POINT (80.14404812625456 6.720573902912052)
34.0358742779723,POINT (80.15309563146457 6.720589633955265)
34.032467193151525,POINT (80.1621431582216 6.720605197883892)
34.028928304086506,POINT (80.17119070629553 6.720620594696007)
34.02526051407247,POINT (80.18023827545626 6.720635824389694)
34.021467203541135,POINT (80.18928586547365 6.720650886963063)
34.01755222696124,POINT (80.19833347611757 6.720665782414247)
34.013519905885666,POINT (80.2073811071579 6.720680510741394)
34.00937501806992,POINT (80.2164287583645 6.720695071942678)
34.00512278264168,POINT (80.22547642950721 6.72070946601629)
34.00076884135951,POINT (80.23452412035596 6.720723692960444)
33.9963192360582,POINT (80.24357183068054 6.720737752773373)
33.99178038243849,POINT (80.25261956025082 6.720751645453333)
33.98715904041799,POINT (80.26166730883669 6.720765370998599)
33.98246228131613,POINT (80.27071507620796 6.720778929407468)
33.97769745219892,POINT (80.27976286213453 6.720792320678254)
33.972872137755935,POINT (80.28881066638618 6.720805544809297)
33.96799412012267,POINT (80.29785848873281 6.720818601798956)
33.963071337094206,POINT (80.30690632894425 6.720831491645608)
33.958111839200605,POINT (80.31595418679032 6.7208442143476566)
33.953123746129684,POINT (80.32500206204088 6.720856769903517)
33.94811520298889,POINT (80.33404995446575 6.720869158311636)
33.94309433689456,POINT (80.34309786383477 6.720881379570472)
33.938069214364106,POINT (80.35214578991777 6.72089343367851)
33.93304779996519,POINT (80.36119373248458 6.720905320634251)
33.92803791664669,POINT (80.37024169130503 6.720917040436223)
33.92304720813968,POINT (80.37928966614894 6.72092859308297)
33.918083103774165,POINT (80.38833765678612 6.720939978573054)
33.913152786010016,POINT (80.39738566298642 6.720951196905067)
33.90826316093004,POINT (80.40643368451963 6.720962248077612)
33.903420831890095,POINT (80.41548172115559 6.720973132089321)
33.89863207646752,POINT (80.4245297726641 6.720983848938838)
33.893902826796094,POINT (80.43357783881498 6.720994398624838)
33.88923865332385,POINT (80.44262591937805 6.721004781146008)
33.8846447519812,POINT (80.45167401412309 6.72101499650106)
33.88012593470124,POINT (80.46072212281992 6.721025044688724)
33.87568662319277,POINT (80.46977024523837 6.721034925707754)
33.87133084583,POINT (80.4788183811482 6.721044639556926)
33.86706223749157,POINT (80.48786653031924 6.721054186235031)
33.86288404215519,POINT (80.49691469252129 6.721063565740882)
33.85879911803402,POINT (80.50596286752415 6.721072778073318)
33.85480994502487,POINT (80.5150110550976 6.721081823231195)
33.85091863422863,POINT (80.52405925501144 6.721090701213389)
33.84712693929752,POINT (80.53310746703548 6.721099412018798)
33.843436269362826,POINT (80.54215569093948 6.72110795564634)
33.83984770329955,POINT (80.55120392649327 6.7211163320949545)
33.83636200509076,POINT (80.56025217346664 6.7211245413636025)
33.83297964006377,POINT (80.56930043162933 6.721132583451264)
33.82970079178186,POINT (80.57834870075115 6.721140458356943)
33.82652537938894,POINT (80.5873969806019 6.721148166079657)
33.82345307521967,POINT (80.59644527095135 6.721155706618453)
33.820483322503385,POINT (80.60549357156928 6.721163079972392)
33.8176153530074,POINT (80.61454188222548 6.721170286140562)
33.81484820448129,POINT (80.62359020268973 6.721177325122066)
33.81218073778144,POINT (80.63263853273179 6.72118419691603)
33.80961165357093,POINT (80.64168687212145 6.721190901521602)
33.80713950850601,POINT (80.65073522062848 6.721197438937949)
33.80476273083514,POINT (80.65978357802267 6.72120380916426)
33.802479635351325,POINT (80.66883194407376 6.721210012199742)
33.80028843765077,POINT (80.67788031855156 6.721216048043626)
33.7981872676637,POINT (80.68692870122582 6.721221916695164)
33.79617418243372,POINT (80.6959770918663 6.721227618153627)
33.79424717813201,POINT (80.7050254902428 6.721233152418306)
33.79240420130136,POINT (80.71407389612507 6.721238519488514)
33.79064315933283,POINT (80.72312230928289 6.721243719363587)
33.788961930184136,POINT (80.73217072948599 6.721248752042875)
33.78735837135468,POINT (80.74121915650417 6.721253617525758)
33.785830328136974,POINT (80.75026759010719 6.7212583158116255)
33.78437564116784,POINT (80.75931603006478 6.721262846899901)
33.78299215330577,POINT (80.76836447614676 6.721267210790018)
33.78167771586374,POINT (80.77741292812284 6.721271407481438)
33.78043019422797,POINT (80.78646138576282 6.721275436973635)
33.779247472894724,POINT (80.79550984883643 6.721279299266113)
33.77812745995753,POINT (80.80455831711345 6.721282994358392)
33.777068091078185,POINT (80.81360679036362 6.72128652225001)
34.071175452004546,POINT (79.74595953372224 6.728760213928995)
34.0720379321439,POINT (79.75500603025813 6.728783327127874)
34.07287006188221,POINT (79.764052558466 6.728806273090921)
34.07366956427728,POINT (79.7730991181159 6.728829051815291)
34.07443406526887,POINT (79.78214570897777 6.728851663298155)
34.075161092528504,POINT (79.79119233082166 6.7288741075367104)
34.07584807464439,POINT (79.80023898341754 6.728896384528167)
34.076492340688226,POINT (79.80928566653544 6.728918494269765)
34.077091120213126,POINT (79.81833237994532 6.728940436758759)
34.07764154373543,POINT (79.82737912341716 6.7289622119924255)
34.078140643755695,POINT (79.83642589672098 6.728983819968061)
34.078585356377225,POINT (79.84547269962673 6.729005260682986)
34.07897252358255,POINT (79.85451953190439 6.72902653413454)
34.07929889623058,POINT (79.86356639332394 6.72904764032008)
34.0795611378386,POINT (79.87261328365531 6.729068579236992)
34.079755829214335,POINT (79.88166020266851 6.7290893508826715)
34.07987947400341,POINT (79.89070715013348 6.729109955254543)
34.07992850521747,POINT (79.89975412582018 6.729130392350052)
34.07989929280596,POINT (79.90880112949857 6.729150662166659)
34.07978815233295,POINT (79.91784816093858 6.729170764701847)
34.079591354815676,POINT (79.92689521991015 6.729190699953125)
34.079305137776856,POINT (79.93594230618326 6.7292104679180165)
34.07892571755593,POINT (79.94498941952781 6.729230068594068)
34.078449302915914,POINT (79.95403655971377 6.729249501978848)
34.07787210997264,POINT (79.96308372651103 6.729268768069947)
34.077190378461054,POINT (79.97213091968953 6.729287866864967)
34.07640038933923,POINT (79.98117813901922 6.729306798361543)
34.07549848371511,POINT (79.99022538426999 6.729325562557325)
