feature,importance
PM25_roll3,0.8678871114959207
PM25_lag1,0.016961762081039014
PM25_lag3,0.015558299225861901
hour_sin,0.011594819029107827
SolarRad,0.005500356867656306
O3_lag3,0.00447800658316648
NO2_lag3,0.0027202891520936305
PM25_lag24,0.0024029578136344097
PM25_roll24,0.00236941185883983
NO2_lag24,0.002348673313613789
AT_lag3,0.002118912978374629
PM25_roll6,0.0021128933156715278
u,0.002042241132255784
RH,0.0020358291382943307
O3_roll24,0.0020229303187917743
PM25_lag6,0.0018857293935452065
NO2_lag1,0.001884398320728154
NO2_roll3,0.0018699450623086574
v,0.001847404974899279
O3_lag24,0.0018084664906897266
WD,0.0017745885171539775
RH_lag6,0.001709939072575189
NO2_lag6,0.0016899092370427778
RH_roll24,0.0016536943557625798
AT_lag6,0.001628379487607012
RH_lag3,0.0015920985685833906
NO2_roll24,0.0015519536425459806
O3_lag6,0.0015250164703659017
RH_lag24,0.0014712024081608725
BP_lag24,0.0014485457576616759
AT_roll24,0.001393329272096228
O3_roll3,0.0013362365986104383
WS_roll24,0.001311190664897041
NO2_roll6,0.0012653229486996474
O3_lag1,0.0012128086282309526
BP_lag6,0.0011684553032653131
AT_lag24,0.0011680999810827488
AT,0.0011370022116938422
WS_lag24,0.0011158594785091829
WS_lag6,0.0010871959477911288
AT_roll6,0.0010856220052864842
WS,0.0010528146026247626
AT_lag1,0.0010448619035260333
AT_roll3,0.001003161099449043
O3_roll6,0.0009986695090711587
BP_roll24,0.0009944640559654925
RH_roll6,0.0009636184494965027
hour_cos,0.0009560103685481435
WS_lag3,0.000952429023367789
WS_roll6,0.0009445383817004378
WS_lag1,0.0009262274157603733
hour,0.0009065289092512585
BP,0.0008942491116063236
RH_lag1,0.0008664809371937756
WS_roll3,0.0008510190184231534
BP_lag3,0.0007545343816369933
BP_roll3,0.0007361751072954875
RH_roll3,0.0007352626062411454
month,0.0006664017999378442
BP_roll6,0.0006369251957756094
dow_sin,0.000593192183526223
BP_lag1,0.000579774188899204
dow,0.0005000229676621016
dow_cos,0.0003817138243342047
Rain,0.00021317898420945825
is_weekend,7.08568703822683e-05
